"","year","state","Type","n()"
"1",2016,"Alabama","Cold",1030
"2",2016,"Alabama","Fog",3831
"3",2016,"Alabama","Hail",4
"4",2016,"Alabama","Precipitation",301
"5",2016,"Alabama","Rain",16921
"6",2016,"Alabama","Snow",197
"7",2016,"Alabama","Storm",8
"8",2016,"Arizona","Cold",330
"9",2016,"Arizona","Fog",1276
"10",2016,"Arizona","Hail",4
"11",2016,"Arizona","Precipitation",82
"12",2016,"Arizona","Rain",7255
"13",2016,"Arizona","Snow",1119
"14",2016,"Arizona","Storm",128
"15",2016,"Arkansas","Cold",952
"16",2016,"Arkansas","Fog",3990
"17",2016,"Arkansas","Hail",5
"18",2016,"Arkansas","Precipitation",703
"19",2016,"Arkansas","Rain",13658
"20",2016,"Arkansas","Snow",269
"21",2016,"Arkansas","Storm",20
"22",2016,"California","Cold",2074
"23",2016,"California","Fog",20286
"24",2016,"California","Hail",9
"25",2016,"California","Precipitation",416
"26",2016,"California","Rain",23887
"27",2016,"California","Snow",1848
"28",2016,"California","Storm",459
"29",2016,"Colorado","Cold",1075
"30",2016,"Colorado","Fog",4983
"31",2016,"Colorado","Hail",27
"32",2016,"Colorado","Precipitation",55
"33",2016,"Colorado","Rain",14800
"34",2016,"Colorado","Snow",9202
"35",2016,"Colorado","Storm",1615
"36",2016,"Connecticut","Cold",73
"37",2016,"Connecticut","Fog",861
"38",2016,"Connecticut","Hail",6
"39",2016,"Connecticut","Precipitation",37
"40",2016,"Connecticut","Rain",3499
"41",2016,"Connecticut","Snow",788
"42",2016,"Connecticut","Storm",10
"43",2016,"Delaware","Cold",11
"44",2016,"Delaware","Fog",245
"45",2016,"Delaware","Hail",1
"46",2016,"Delaware","Precipitation",13
"47",2016,"Delaware","Rain",1790
"48",2016,"Delaware","Snow",178
"49",2016,"Delaware","Storm",7
"50",2016,"Florida","Cold",1879
"51",2016,"Florida","Fog",8153
"52",2016,"Florida","Hail",1
"53",2016,"Florida","Precipitation",998
"54",2016,"Florida","Rain",40451
"55",2016,"Florida","Snow",1
"56",2016,"Florida","Storm",116
"57",2016,"Georgia","Cold",584
"58",2016,"Georgia","Fog",6991
"59",2016,"Georgia","Hail",3
"60",2016,"Georgia","Precipitation",146
"61",2016,"Georgia","Rain",23720
"62",2016,"Georgia","Snow",308
"63",2016,"Georgia","Storm",21
"64",2016,"Idaho","Cold",369
"65",2016,"Idaho","Fog",3493
"66",2016,"Idaho","Hail",2
"67",2016,"Idaho","Precipitation",50
"68",2016,"Idaho","Rain",5554
"69",2016,"Idaho","Snow",4391
"70",2016,"Idaho","Storm",32
"71",2016,"Illinois","Cold",738
"72",2016,"Illinois","Fog",7355
"73",2016,"Illinois","Hail",23
"74",2016,"Illinois","Precipitation",307
"75",2016,"Illinois","Rain",27734
"76",2016,"Illinois","Snow",4097
"77",2016,"Illinois","Storm",139
"78",2016,"Indiana","Cold",703
"79",2016,"Indiana","Fog",4435
"80",2016,"Indiana","Hail",13
"81",2016,"Indiana","Precipitation",279
"82",2016,"Indiana","Rain",11962
"83",2016,"Indiana","Snow",2974
"84",2016,"Indiana","Storm",69
"85",2016,"Iowa","Cold",1079
"86",2016,"Iowa","Fog",9012
"87",2016,"Iowa","Hail",9
"88",2016,"Iowa","Precipitation",445
"89",2016,"Iowa","Rain",17865
"90",2016,"Iowa","Snow",6312
"91",2016,"Iowa","Storm",267
"92",2016,"Kansas","Cold",1112
"93",2016,"Kansas","Fog",2792
"94",2016,"Kansas","Hail",15
"95",2016,"Kansas","Precipitation",231
"96",2016,"Kansas","Rain",11474
"97",2016,"Kansas","Snow",843
"98",2016,"Kansas","Storm",176
"99",2016,"Kentucky","Cold",487
"100",2016,"Kentucky","Fog",2765
"101",2016,"Kentucky","Hail",13
"102",2016,"Kentucky","Precipitation",310
"103",2016,"Kentucky","Rain",12149
"104",2016,"Kentucky","Snow",1625
"105",2016,"Kentucky","Storm",17
"106",2016,"Louisiana","Cold",651
"107",2016,"Louisiana","Fog",7057
"108",2016,"Louisiana","Hail",3
"109",2016,"Louisiana","Precipitation",671
"110",2016,"Louisiana","Rain",24595
"111",2016,"Louisiana","Snow",22
"112",2016,"Louisiana","Storm",52
"113",2016,"Maine","Cold",268
"114",2016,"Maine","Fog",2394
"115",2016,"Maine","Hail",2
"116",2016,"Maine","Precipitation",168
"117",2016,"Maine","Rain",6103
"118",2016,"Maine","Snow",2971
"119",2016,"Maine","Storm",13
"120",2016,"Maryland","Cold",381
"121",2016,"Maryland","Fog",2238
"122",2016,"Maryland","Hail",8
"123",2016,"Maryland","Precipitation",96
"124",2016,"Maryland","Rain",6142
"125",2016,"Maryland","Snow",736
"126",2016,"Maryland","Storm",30
"127",2016,"Massachusetts","Cold",513
"128",2016,"Massachusetts","Fog",3012
"129",2016,"Massachusetts","Hail",6
"130",2016,"Massachusetts","Precipitation",79
"131",2016,"Massachusetts","Rain",8832
"132",2016,"Massachusetts","Snow",2146
"133",2016,"Massachusetts","Storm",46
"134",2016,"Michigan","Cold",697
"135",2016,"Michigan","Fog",11672
"136",2016,"Michigan","Hail",26
"137",2016,"Michigan","Precipitation",245
"138",2016,"Michigan","Rain",25390
"139",2016,"Michigan","Snow",18339
"140",2016,"Michigan","Storm",49
"141",2016,"Minnesota","Cold",3118
"142",2016,"Minnesota","Fog",12782
"143",2016,"Minnesota","Hail",19
"144",2016,"Minnesota","Precipitation",362
"145",2016,"Minnesota","Rain",35820
"146",2016,"Minnesota","Snow",18395
"147",2016,"Minnesota","Storm",272
"148",2016,"Mississippi","Cold",589
"149",2016,"Mississippi","Fog",5462
"150",2016,"Mississippi","Hail",1
"151",2016,"Mississippi","Precipitation",371
"152",2016,"Mississippi","Rain",11142
"153",2016,"Mississippi","Snow",95
"154",2016,"Mississippi","Storm",11
"155",2016,"Missouri","Cold",322
"156",2016,"Missouri","Fog",3466
"157",2016,"Missouri","Hail",17
"158",2016,"Missouri","Precipitation",224
"159",2016,"Missouri","Rain",13003
"160",2016,"Missouri","Snow",1014
"161",2016,"Missouri","Storm",23
"162",2016,"Montana","Cold",374
"163",2016,"Montana","Fog",3010
"164",2016,"Montana","Hail",4
"165",2016,"Montana","Precipitation",106
"166",2016,"Montana","Rain",6268
"167",2016,"Montana","Snow",4635
"168",2016,"Montana","Storm",351
"169",2016,"Nebraska","Cold",402
"170",2016,"Nebraska","Fog",3206
"171",2016,"Nebraska","Hail",7
"172",2016,"Nebraska","Precipitation",95
"173",2016,"Nebraska","Rain",13078
"174",2016,"Nebraska","Snow",2983
"175",2016,"Nebraska","Storm",355
"176",2016,"Nevada","Cold",133
"177",2016,"Nevada","Fog",810
"178",2016,"Nevada","Hail",4
"179",2016,"Nevada","Precipitation",28
"180",2016,"Nevada","Rain",2776
"181",2016,"Nevada","Snow",1266
"182",2016,"Nevada","Storm",99
"183",2016,"New Hampshire","Cold",190
"184",2016,"New Hampshire","Fog",2452
"185",2016,"New Hampshire","Hail",6
"186",2016,"New Hampshire","Precipitation",80
"187",2016,"New Hampshire","Rain",4500
"188",2016,"New Hampshire","Snow",1883
"189",2016,"New Hampshire","Storm",379
"190",2016,"New Jersey","Cold",312
"191",2016,"New Jersey","Fog",1491
"192",2016,"New Jersey","Hail",8
"193",2016,"New Jersey","Precipitation",176
"194",2016,"New Jersey","Rain",6322
"195",2016,"New Jersey","Snow",749
"196",2016,"New Jersey","Storm",8
"197",2016,"New Mexico","Cold",386
"198",2016,"New Mexico","Fog",2026
"199",2016,"New Mexico","Hail",4
"200",2016,"New Mexico","Precipitation",63
"201",2016,"New Mexico","Rain",8933
"202",2016,"New Mexico","Snow",1632
"203",2016,"New Mexico","Storm",332
"204",2016,"New York","Cold",323
"205",2016,"New York","Fog",3883
"206",2016,"New York","Hail",44
"207",2016,"New York","Precipitation",454
"208",2016,"New York","Rain",14406
"209",2016,"New York","Snow",6306
"210",2016,"New York","Storm",24
"211",2016,"North Carolina","Cold",1402
"212",2016,"North Carolina","Fog",9289
"213",2016,"North Carolina","Hail",13
"214",2016,"North Carolina","Precipitation",474
"215",2016,"North Carolina","Rain",36282
"216",2016,"North Carolina","Snow",1483
"217",2016,"North Carolina","Storm",113
"218",2016,"North Dakota","Cold",1069
"219",2016,"North Dakota","Fog",4463
"220",2016,"North Dakota","Hail",7
"221",2016,"North Dakota","Precipitation",319
"222",2016,"North Dakota","Rain",8522
"223",2016,"North Dakota","Snow",9540
"224",2016,"North Dakota","Storm",465
"225",2016,"Ohio","Cold",487
"226",2016,"Ohio","Fog",5115
"227",2016,"Ohio","Hail",8
"228",2016,"Ohio","Precipitation",204
"229",2016,"Ohio","Rain",16578
"230",2016,"Ohio","Snow",5256
"231",2016,"Ohio","Storm",51
"232",2016,"Oklahoma","Cold",1219
"233",2016,"Oklahoma","Fog",5141
"234",2016,"Oklahoma","Hail",11
"235",2016,"Oklahoma","Precipitation",220
"236",2016,"Oklahoma","Rain",16743
"237",2016,"Oklahoma","Snow",408
"238",2016,"Oklahoma","Storm",130
"239",2016,"Oregon","Cold",221
"240",2016,"Oregon","Fog",4731
"241",2016,"Oregon","Hail",7
"242",2016,"Oregon","Precipitation",135
"243",2016,"Oregon","Rain",17625
"244",2016,"Oregon","Snow",1501
"245",2016,"Oregon","Storm",42
"246",2016,"Pennsylvania","Cold",361
"247",2016,"Pennsylvania","Fog",4905
"248",2016,"Pennsylvania","Hail",12
"249",2016,"Pennsylvania","Precipitation",271
"250",2016,"Pennsylvania","Rain",14895
"251",2016,"Pennsylvania","Snow",4367
"252",2016,"Pennsylvania","Storm",14
"253",2016,"Rhode Island","Cold",128
"254",2016,"Rhode Island","Fog",499
"255",2016,"Rhode Island","Precipitation",28
"256",2016,"Rhode Island","Rain",1765
"257",2016,"Rhode Island","Snow",268
"258",2016,"Rhode Island","Storm",3
"259",2016,"South Carolina","Cold",553
"260",2016,"South Carolina","Fog",7356
"261",2016,"South Carolina","Hail",1
"262",2016,"South Carolina","Precipitation",246
"263",2016,"South Carolina","Rain",18643
"264",2016,"South Carolina","Snow",203
"265",2016,"South Carolina","Storm",40
"266",2016,"South Dakota","Cold",422
"267",2016,"South Dakota","Fog",2195
"268",2016,"South Dakota","Hail",1
"269",2016,"South Dakota","Precipitation",107
"270",2016,"South Dakota","Rain",6088
"271",2016,"South Dakota","Snow",3524
"272",2016,"South Dakota","Storm",441
"273",2016,"Tennessee","Cold",535
"274",2016,"Tennessee","Fog",1279
"275",2016,"Tennessee","Hail",13
"276",2016,"Tennessee","Precipitation",113
"277",2016,"Tennessee","Rain",5268
"278",2016,"Tennessee","Snow",381
"279",2016,"Tennessee","Storm",9
"280",2016,"Texas","Cold",2910
"281",2016,"Texas","Fog",20614
"282",2016,"Texas","Hail",25
"283",2016,"Texas","Precipitation",962
"284",2016,"Texas","Rain",66118
"285",2016,"Texas","Snow",418
"286",2016,"Texas","Storm",506
"287",2016,"Utah","Cold",243
"288",2016,"Utah","Fog",1448
"289",2016,"Utah","Hail",21
"290",2016,"Utah","Precipitation",12
"291",2016,"Utah","Rain",3219
"292",2016,"Utah","Snow",1986
"293",2016,"Utah","Storm",92
"294",2016,"Vermont","Cold",171
"295",2016,"Vermont","Fog",1641
"296",2016,"Vermont","Precipitation",45
"297",2016,"Vermont","Rain",3991
"298",2016,"Vermont","Snow",2032
"299",2016,"Virginia","Cold",1229
"300",2016,"Virginia","Fog",6568
"301",2016,"Virginia","Hail",11
"302",2016,"Virginia","Precipitation",426
"303",2016,"Virginia","Rain",26110
"304",2016,"Virginia","Snow",2567
"305",2016,"Virginia","Storm",90
"306",2016,"Washington","Cold",353
"307",2016,"Washington","Fog",6755
"308",2016,"Washington","Hail",7
"309",2016,"Washington","Precipitation",106
"310",2016,"Washington","Rain",22418
"311",2016,"Washington","Snow",2360
"312",2016,"Washington","Storm",43
"313",2016,"West Virginia","Cold",201
"314",2016,"West Virginia","Fog",3204
"315",2016,"West Virginia","Hail",7
"316",2016,"West Virginia","Precipitation",76
"317",2016,"West Virginia","Rain",7732
"318",2016,"West Virginia","Snow",2173
"319",2016,"West Virginia","Storm",7
"320",2016,"Wisconsin","Cold",2092
"321",2016,"Wisconsin","Fog",8669
"322",2016,"Wisconsin","Hail",15
"323",2016,"Wisconsin","Precipitation",307
"324",2016,"Wisconsin","Rain",25222
"325",2016,"Wisconsin","Snow",11860
"326",2016,"Wisconsin","Storm",54
"327",2016,"Wyoming","Cold",1468
"328",2016,"Wyoming","Fog",3160
"329",2016,"Wyoming","Hail",10
"330",2016,"Wyoming","Precipitation",193
"331",2016,"Wyoming","Rain",11854
"332",2016,"Wyoming","Snow",9992
"333",2016,"Wyoming","Storm",1040
"334",2017,"Alabama","Cold",893
"335",2017,"Alabama","Fog",5893
"336",2017,"Alabama","Hail",1
"337",2017,"Alabama","Precipitation",376
"338",2017,"Alabama","Rain",22591
"339",2017,"Alabama","Snow",199
"340",2017,"Alabama","Storm",11
"341",2017,"Arizona","Cold",344
"342",2017,"Arizona","Fog",1106
"343",2017,"Arizona","Precipitation",28
"344",2017,"Arizona","Rain",5591
"345",2017,"Arizona","Snow",883
"346",2017,"Arizona","Storm",110
"347",2017,"Arkansas","Cold",646
"348",2017,"Arkansas","Fog",4132
"349",2017,"Arkansas","Precipitation",318
"350",2017,"Arkansas","Rain",13745
"351",2017,"Arkansas","Snow",229
"352",2017,"Arkansas","Storm",30
"353",2017,"California","Cold",2114
"354",2017,"California","Fog",18652
"355",2017,"California","Hail",7
"356",2017,"California","Precipitation",446
"357",2017,"California","Rain",24152
"358",2017,"California","Snow",2221
"359",2017,"California","Storm",423
"360",2017,"Colorado","Cold",681
"361",2017,"Colorado","Fog",6046
"362",2017,"Colorado","Hail",23
"363",2017,"Colorado","Precipitation",52
"364",2017,"Colorado","Rain",16528
"365",2017,"Colorado","Snow",8607
"366",2017,"Colorado","Storm",2038
"367",2017,"Connecticut","Cold",115
"368",2017,"Connecticut","Fog",988
"369",2017,"Connecticut","Hail",16
"370",2017,"Connecticut","Precipitation",33
"371",2017,"Connecticut","Rain",4067
"372",2017,"Connecticut","Snow",650
"373",2017,"Connecticut","Storm",5
"374",2017,"Delaware","Cold",16
"375",2017,"Delaware","Fog",275
"376",2017,"Delaware","Precipitation",14
"377",2017,"Delaware","Rain",1743
"378",2017,"Delaware","Snow",181
"379",2017,"Delaware","Storm",4
"380",2017,"Florida","Cold",1353
"381",2017,"Florida","Fog",9999
"382",2017,"Florida","Hail",2
"383",2017,"Florida","Precipitation",882
"384",2017,"Florida","Rain",43560
"385",2017,"Florida","Snow",18
"386",2017,"Florida","Storm",261
"387",2017,"Georgia","Cold",931
"388",2017,"Georgia","Fog",9025
"389",2017,"Georgia","Hail",8
"390",2017,"Georgia","Precipitation",204
"391",2017,"Georgia","Rain",29671
"392",2017,"Georgia","Snow",349
"393",2017,"Georgia","Storm",36
"394",2017,"Idaho","Cold",395
"395",2017,"Idaho","Fog",4193
"396",2017,"Idaho","Hail",5
"397",2017,"Idaho","Precipitation",30
"398",2017,"Idaho","Rain",5812
"399",2017,"Idaho","Snow",5420
"400",2017,"Idaho","Storm",39
"401",2017,"Illinois","Cold",806
"402",2017,"Illinois","Fog",5556
"403",2017,"Illinois","Hail",20
"404",2017,"Illinois","Precipitation",264
"405",2017,"Illinois","Rain",27849
"406",2017,"Illinois","Snow",2698
"407",2017,"Illinois","Storm",115
"408",2017,"Indiana","Cold",447
"409",2017,"Indiana","Fog",3971
"410",2017,"Indiana","Hail",9
"411",2017,"Indiana","Precipitation",281
"412",2017,"Indiana","Rain",14221
"413",2017,"Indiana","Snow",2429
"414",2017,"Indiana","Storm",56
"415",2017,"Iowa","Cold",808
"416",2017,"Iowa","Fog",6762
"417",2017,"Iowa","Hail",7
"418",2017,"Iowa","Precipitation",331
"419",2017,"Iowa","Rain",18363
"420",2017,"Iowa","Snow",3696
"421",2017,"Iowa","Storm",185
"422",2017,"Kansas","Cold",722
"423",2017,"Kansas","Fog",2646
"424",2017,"Kansas","Hail",4
"425",2017,"Kansas","Precipitation",168
"426",2017,"Kansas","Rain",12068
"427",2017,"Kansas","Snow",721
"428",2017,"Kansas","Storm",174
"429",2017,"Kentucky","Cold",346
"430",2017,"Kentucky","Fog",2584
"431",2017,"Kentucky","Hail",3
"432",2017,"Kentucky","Precipitation",220
"433",2017,"Kentucky","Rain",12821
"434",2017,"Kentucky","Snow",624
"435",2017,"Kentucky","Storm",12
"436",2017,"Louisiana","Cold",804
"437",2017,"Louisiana","Fog",7576
"438",2017,"Louisiana","Hail",17
"439",2017,"Louisiana","Precipitation",503
"440",2017,"Louisiana","Rain",24936
"441",2017,"Louisiana","Snow",183
"442",2017,"Louisiana","Storm",41
"443",2017,"Maine","Cold",356
"444",2017,"Maine","Fog",2711
"445",2017,"Maine","Hail",11
"446",2017,"Maine","Precipitation",107
"447",2017,"Maine","Rain",6485
"448",2017,"Maine","Snow",3240
"449",2017,"Maine","Storm",3
"450",2017,"Maryland","Cold",401
"451",2017,"Maryland","Fog",2611
"452",2017,"Maryland","Hail",23
"453",2017,"Maryland","Precipitation",95
"454",2017,"Maryland","Rain",6973
"455",2017,"Maryland","Snow",684
"456",2017,"Maryland","Storm",18
"457",2017,"Massachusetts","Cold",478
"458",2017,"Massachusetts","Fog",3497
"459",2017,"Massachusetts","Hail",9
"460",2017,"Massachusetts","Precipitation",92
"461",2017,"Massachusetts","Rain",10443
"462",2017,"Massachusetts","Snow",2260
"463",2017,"Massachusetts","Storm",50
"464",2017,"Michigan","Cold",518
"465",2017,"Michigan","Fog",11552
"466",2017,"Michigan","Hail",32
"467",2017,"Michigan","Precipitation",258
"468",2017,"Michigan","Rain",32225
"469",2017,"Michigan","Snow",18507
"470",2017,"Michigan","Storm",81
"471",2017,"Minnesota","Cold",2791
"472",2017,"Minnesota","Fog",12974
"473",2017,"Minnesota","Hail",15
"474",2017,"Minnesota","Precipitation",306
"475",2017,"Minnesota","Rain",35060
"476",2017,"Minnesota","Snow",14874
"477",2017,"Minnesota","Storm",243
"478",2017,"Mississippi","Cold",765
"479",2017,"Mississippi","Fog",4889
"480",2017,"Mississippi","Hail",10
"481",2017,"Mississippi","Precipitation",390
"482",2017,"Mississippi","Rain",13164
"483",2017,"Mississippi","Snow",152
"484",2017,"Mississippi","Storm",19
"485",2017,"Missouri","Cold",251
"486",2017,"Missouri","Fog",3164
"487",2017,"Missouri","Hail",14
"488",2017,"Missouri","Precipitation",161
"489",2017,"Missouri","Rain",13269
"490",2017,"Missouri","Snow",674
"491",2017,"Missouri","Storm",40
"492",2017,"Montana","Cold",539
"493",2017,"Montana","Fog",4120
"494",2017,"Montana","Hail",6
"495",2017,"Montana","Precipitation",28
"496",2017,"Montana","Rain",4790
"497",2017,"Montana","Snow",6624
"498",2017,"Montana","Storm",255
"499",2017,"Nebraska","Cold",311
"500",2017,"Nebraska","Fog",2599
"501",2017,"Nebraska","Hail",9
"502",2017,"Nebraska","Precipitation",120
"503",2017,"Nebraska","Rain",13989
"504",2017,"Nebraska","Snow",2874
"505",2017,"Nebraska","Storm",219
"506",2017,"Nevada","Cold",141
"507",2017,"Nevada","Fog",731
"508",2017,"Nevada","Hail",5
"509",2017,"Nevada","Precipitation",15
"510",2017,"Nevada","Rain",2936
"511",2017,"Nevada","Snow",1336
"512",2017,"Nevada","Storm",112
"513",2017,"New Hampshire","Cold",86
"514",2017,"New Hampshire","Fog",2594
"515",2017,"New Hampshire","Hail",7
"516",2017,"New Hampshire","Precipitation",17
"517",2017,"New Hampshire","Rain",5177
"518",2017,"New Hampshire","Snow",2572
"519",2017,"New Hampshire","Storm",398
"520",2017,"New Jersey","Cold",167
"521",2017,"New Jersey","Fog",1723
"522",2017,"New Jersey","Hail",16
"523",2017,"New Jersey","Precipitation",67
"524",2017,"New Jersey","Rain",7557
"525",2017,"New Jersey","Snow",893
"526",2017,"New Jersey","Storm",9
"527",2017,"New Mexico","Cold",534
"528",2017,"New Mexico","Fog",1926
"529",2017,"New Mexico","Hail",8
"530",2017,"New Mexico","Precipitation",78
"531",2017,"New Mexico","Rain",9509
"532",2017,"New Mexico","Snow",1748
"533",2017,"New Mexico","Storm",419
"534",2017,"New York","Cold",245
"535",2017,"New York","Fog",5047
"536",2017,"New York","Hail",56
"537",2017,"New York","Precipitation",1407
"538",2017,"New York","Rain",18287
"539",2017,"New York","Snow",6450
"540",2017,"New York","Storm",43
"541",2017,"North Carolina","Cold",980
"542",2017,"North Carolina","Fog",9120
"543",2017,"North Carolina","Hail",27
"544",2017,"North Carolina","Precipitation",568
"545",2017,"North Carolina","Rain",36650
"546",2017,"North Carolina","Snow",1227
"547",2017,"North Carolina","Storm",43
"548",2017,"North Dakota","Cold",2772
"549",2017,"North Dakota","Fog",4191
"550",2017,"North Dakota","Hail",2
"551",2017,"North Dakota","Precipitation",51
"552",2017,"North Dakota","Rain",5367
"553",2017,"North Dakota","Snow",7224
"554",2017,"North Dakota","Storm",536
"555",2017,"Ohio","Cold",598
"556",2017,"Ohio","Fog",4922
"557",2017,"Ohio","Hail",14
"558",2017,"Ohio","Precipitation",236
"559",2017,"Ohio","Rain",20405
"560",2017,"Ohio","Snow",4474
"561",2017,"Ohio","Storm",50
"562",2017,"Oklahoma","Cold",732
"563",2017,"Oklahoma","Fog",5075
"564",2017,"Oklahoma","Hail",9
"565",2017,"Oklahoma","Precipitation",283
"566",2017,"Oklahoma","Rain",18513
"567",2017,"Oklahoma","Snow",639
"568",2017,"Oklahoma","Storm",130
"569",2017,"Oregon","Cold",326
"570",2017,"Oregon","Fog",6067
"571",2017,"Oregon","Hail",6
"572",2017,"Oregon","Precipitation",86
"573",2017,"Oregon","Rain",16792
"574",2017,"Oregon","Snow",2815
"575",2017,"Oregon","Storm",89
"576",2017,"Pennsylvania","Cold",216
"577",2017,"Pennsylvania","Fog",5615
"578",2017,"Pennsylvania","Hail",14
"579",2017,"Pennsylvania","Precipitation",369
"580",2017,"Pennsylvania","Rain",17081
"581",2017,"Pennsylvania","Snow",4562
"582",2017,"Pennsylvania","Storm",24
"583",2017,"Rhode Island","Cold",54
"584",2017,"Rhode Island","Fog",748
"585",2017,"Rhode Island","Hail",7
"586",2017,"Rhode Island","Precipitation",15
"587",2017,"Rhode Island","Rain",2411
"588",2017,"Rhode Island","Snow",376
"589",2017,"Rhode Island","Storm",2
"590",2017,"South Carolina","Cold",532
"591",2017,"South Carolina","Fog",8179
"592",2017,"South Carolina","Hail",6
"593",2017,"South Carolina","Precipitation",260
"594",2017,"South Carolina","Rain",21575
"595",2017,"South Carolina","Snow",315
"596",2017,"South Carolina","Storm",32
"597",2017,"South Dakota","Cold",398
"598",2017,"South Dakota","Fog",1639
"599",2017,"South Dakota","Hail",2
"600",2017,"South Dakota","Precipitation",81
"601",2017,"South Dakota","Rain",5805
"602",2017,"South Dakota","Snow",2897
"603",2017,"South Dakota","Storm",354
"604",2017,"Tennessee","Cold",227
"605",2017,"Tennessee","Fog",2840
"606",2017,"Tennessee","Hail",10
"607",2017,"Tennessee","Precipitation",292
"608",2017,"Tennessee","Rain",6439
"609",2017,"Tennessee","Snow",204
"610",2017,"Tennessee","Storm",11
"611",2017,"Texas","Cold",2875
"612",2017,"Texas","Fog",18955
"613",2017,"Texas","Hail",21
"614",2017,"Texas","Precipitation",969
"615",2017,"Texas","Rain",59757
"616",2017,"Texas","Snow",894
"617",2017,"Texas","Storm",593
"618",2017,"Utah","Cold",231
"619",2017,"Utah","Fog",1605
"620",2017,"Utah","Hail",20
"621",2017,"Utah","Precipitation",14
"622",2017,"Utah","Rain",3102
"623",2017,"Utah","Snow",2075
"624",2017,"Utah","Storm",139
"625",2017,"Vermont","Cold",106
"626",2017,"Vermont","Fog",1935
"627",2017,"Vermont","Hail",4
"628",2017,"Vermont","Precipitation",48
"629",2017,"Vermont","Rain",5055
"630",2017,"Vermont","Snow",2449
"631",2017,"Vermont","Storm",2
"632",2017,"Virginia","Cold",927
"633",2017,"Virginia","Fog",5767
"634",2017,"Virginia","Hail",23
"635",2017,"Virginia","Precipitation",413
"636",2017,"Virginia","Rain",26844
"637",2017,"Virginia","Snow",1804
"638",2017,"Virginia","Storm",21
"639",2017,"Washington","Cold",372
"640",2017,"Washington","Fog",7518
"641",2017,"Washington","Hail",39
"642",2017,"Washington","Precipitation",56
"643",2017,"Washington","Rain",21322
"644",2017,"Washington","Snow",4246
"645",2017,"Washington","Storm",49
"646",2017,"West Virginia","Cold",373
"647",2017,"West Virginia","Fog",3067
"648",2017,"West Virginia","Hail",2
"649",2017,"West Virginia","Precipitation",84
"650",2017,"West Virginia","Rain",8963
"651",2017,"West Virginia","Snow",1573
"652",2017,"West Virginia","Storm",4
"653",2017,"Wisconsin","Cold",740
"654",2017,"Wisconsin","Fog",8425
"655",2017,"Wisconsin","Hail",17
"656",2017,"Wisconsin","Precipitation",352
"657",2017,"Wisconsin","Rain",27860
"658",2017,"Wisconsin","Snow",9967
"659",2017,"Wisconsin","Storm",80
"660",2017,"Wyoming","Cold",1489
"661",2017,"Wyoming","Fog",4353
"662",2017,"Wyoming","Hail",4
"663",2017,"Wyoming","Precipitation",72
"664",2017,"Wyoming","Rain",12532
"665",2017,"Wyoming","Snow",10362
"666",2017,"Wyoming","Storm",1399
"667",2018,"Alabama","Cold",884
